Encore Halloween Harvest 2024 Items,,,,,All ," 635,222 "," 868,061 "," 498,786 "," 260,202 ", -   ," 2,262,271 ",,," $2,231,408 "," $3,155,884 "," $1,758,065 "," $1,009,134 ", $-   ," $8,154,490 "," $1,059,357 "," $1,501,090 "," $834,456 "," $491,695 ", $-   ," $3,886,599 ",,,
,,,,,Halloween," 276,454 "," 398,507 "," 239,262 "," 147,412 ", -   ," 1,061,635 ",,," $1,051,497 "," $1,607,006 "," $887,287 "," $527,811 ", $-   ," $4,073,601 "," $522,208 "," $793,295 "," $433,343 "," $259,488 ", $-   ," $2,008,333 ",,,
,,,,,Harvest," 358,768 "," 469,554 "," 259,524 "," 112,790 ", -   ," 1,200,636 ",,," $1,179,910 "," $1,548,877 "," $870,778 "," $481,323 ", $-   ," $4,080,889 "," $537,150 "," $707,795 "," $401,113 "," $232,207 ", $-   ," $1,878,265 ",,,
335,,,,,SKU Count, 239 , 265 , 236 , 136 , -   , 335 ,,,,,,,,,,,,,,,,,
UPC,UPC Desc,Segment,Program,Season,Vendor, GM Units Ordered , SS Units Ordered , GF Units Ordered , HRD Units Ordered , PP Units Ordered , Total Units Ordered , Price to Ahold , Retail , GM Retail$ , SS Retail$ , GF Retail$ , HRD Retail$ , FL Retail$ , Total Retail$ , GM Spend$ , SS Spend$ , GF Spend$ , HRD Spend$ , FL Spend$ , Total Spend$ ,Subcat,Sourcing Type, Note 
00004152019408, SL Har 20C LD Strng Lts , Décor , Harvest ,Halloween Harvest 2024,Decra Lite," 1,872 ", -   ," 1,200 "," 3,792 ", -   ," 6,864 ", $2.89 , $5.99 ," $11,213 ", $-   ," $7,188 "," $22,714 ", $-   ," $41,115 "," $5,410 ", $-   ," $3,468 "," $10,959 ", $-   ," $19,837 ", Candle & Lights , Import ,
00004152019416, SL Har 6x12 Scrcrw clng , Décor , Harvest ,Halloween Harvest 2024,Mello Smello," 1,020 "," 1,938 ", 852 , 678 , -   ," 4,488 ", $0.75 , $1.49 ," $1,520 "," $2,888 "," $1,269 "," $1,010 ", $-   ," $6,687 ", $765 ," $1,454 ", $639 , $509 , $-   ," $3,366 ", Window Décor , Import ,
00004152019417, SL Har 6x12 Gl Clng Kit , Décor , Harvest ,Halloween Harvest 2024,Mello Smello," 1,020 "," 1,938 ", 852 , 678 , -   ," 4,488 ", $0.75 , $1.49 ," $1,520 "," $2,888 "," $1,269 "," $1,010 ", $-   ," $6,687 ", $765 ," $1,454 ", $639 , $509 , $-   ," $3,366 ", Window Décor , Import ,
00004152019421, SL Har 12x12 Pm Gl Clng , Décor , Harvest ,Halloween Harvest 2024,Mello Smello," 2,700 "," 2,796 "," 1,302 "," 2,016 ", -   ," 8,814 ", $1.81 , $3.49 ," $9,423 "," $9,758 "," $4,544 "," $7,036 ", $-   ," $30,761 "," $4,887 "," $5,061 "," $2,357 "," $3,649 ", $-   ," $15,953 ", Window Décor , Import ,
00004152019422, SL Har 12x12 Tk Gl Clng , Décor , Harvest ,Halloween Harvest 2024,Mello Smello," 2,700 "," 2,796 "," 1,302 "," 2,016 ", -   ," 8,814 ", $1.81 , $3.49 ," $9,423 "," $9,758 "," $4,544 "," $7,036 ", $-   ," $30,761 "," $4,887 "," $5,061 "," $2,357 "," $3,649 ", $-   ," $15,953 ", Window Décor , Import ,
00004152020535, SL Har FL Mel Serv Bowl , Housewares , Harvest ,Halloween Harvest 2024,Max Union," 3,138 "," 1,842 "," 1,452 "," 1,656 ", -   ," 8,088 ", $3.21 , $6.49 ," $20,366 "," $11,955 "," $9,423 "," $10,747 ", $-   ," $52,491 "," $10,073 "," $5,913 "," $4,661 "," $5,316 ", $-   ," $25,962 ", Serve Ware , Import ,
00004152020536, SL Har FL Mel Rct Plttr , Housewares , Harvest ,Halloween Harvest 2024,Max Union," 1,056 "," 3,060 ", -   , -   , -   ," 4,116 ", $2.01 , $3.99 ," $4,213 "," $12,209 ", $-   , $-   , $-   ," $16,423 "," $2,123 "," $6,151 ", $-   , $-   , $-   ," $8,273 ", Tabletop , Import ,
00004152020537, SL Har FL Kids Tumbler , Housewares , Harvest ,Halloween Harvest 2024,Max Union," 2,748 "," 5,976 "," 2,640 "," 4,872 ", -   ," 16,236 ", $1.17 , $2.49 ," $6,843 "," $14,880 "," $6,574 "," $12,131 ", $-   ," $40,428 "," $3,215 "," $6,992 "," $3,089 "," $5,700 ", $-   ," $18,996 ", Beverage and Hydration , Import ,
00004152020538, SL Har FL Kids Mel Bowl , Housewares , Harvest ,Halloween Harvest 2024,Max Union," 3,264 "," 3,732 "," 2,736 ", -   , -   ," 9,732 ", $1.00 , $2.49 ," $8,127 "," $9,293 "," $6,813 ", $-   , $-   ," $24,233 "," $3,264 "," $3,732 "," $2,736 ", $-   , $-   ," $9,732 ", Tabletop , Import ,
00004152020539, SL Har FL Kids Mel Plte , Housewares , Harvest ,Halloween Harvest 2024,Max Union," 3,324 "," 3,696 "," 2,868 "," 4,416 ", -   ," 14,304 ", $1.05 , $2.49 ," $8,277 "," $9,203 "," $7,141 "," $10,996 ", $-   ," $35,617 "," $3,490 "," $3,881 "," $3,011 "," $4,637 ", $-   ," $15,019 ", Tabletop , Import ,
00004152020540, SL Har Kds Mel Dv Plte , Housewares , Harvest ,Halloween Harvest 2024,Max Union," 4,968 "," 6,108 "," 3,696 "," 4,944 ", -   ," 19,716 ", $1.32 , $2.99 ," $14,854 "," $18,263 "," $11,051 "," $14,783 ", $-   ," $58,951 "," $6,558 "," $8,063 "," $4,879 "," $6,526 ", $-   ," $26,025 ", Tabletop , Import ,
00004152020541, SL Har Kds Mel Shpe Plt , Housewares , Harvest ,Halloween Harvest 2024,Max Union," 1,164 "," 1,800 "," 1,956 "," 1,212 ", -   ," 6,132 ", $1.83 , $3.49 ," $4,062 "," $6,282 "," $6,826 "," $4,230 ", $-   ," $21,401 "," $2,130 "," $3,294 "," $3,579 "," $2,218 ", $-   ," $11,222 ", Tabletop , Import ,
00004152020542, SL Har 10Oz Kds Str Tmb , Housewares , Harvest ,Halloween Harvest 2024,FCG," 2,736 "," 3,276 "," 1,752 "," 3,288 ", -   ," 11,052 ", $2.57 , $5.49 ," $15,021 "," $17,985 "," $9,618 "," $18,051 ", $-   ," $60,675 "," $7,032 "," $8,419 "," $4,503 "," $8,450 ", $-   ," $28,404 ", Beverage and Hydration , Import ,
00004152020543, SL Har Cer Wd Anml Mug , Housewares , Harvest ,Halloween Harvest 2024,Cheer Billion," 1,824 "," 1,764 "," 1,296 ", -   , -   ," 4,884 ", $3.47 , $7.49 ," $13,662 "," $13,212 "," $9,707 ", $-   , $-   ," $36,581 "," $6,329 "," $6,121 "," $4,497 ", $-   , $-   ," $16,947 ", Beverage and Hydration , Import ,
00004152020544, SL Har Lf N Acn Plcmt , Housewares , Harvest ,Halloween Harvest 2024,Gibo," 2,376 ", -   ," 3,144 ", -   , -   ," 5,520 ", $1.29 , $2.49 ," $5,916 ", $-   ," $7,829 ", $-   , $-   ," $13,745 "," $3,065 ", $-   ," $4,056 ", $-   , $-   ," $7,121 ", Textiles , Import ,
00004152020545, SL Har Wd Anmal Plush , Plush , Harvest ,Halloween Harvest 2024,Dan Dee," 1,680 "," 1,800 "," 1,620 ", -   , -   ," 5,100 ", $4.19 , $7.99 ," $13,423 "," $14,382 "," $12,944 ", $-   , $-   ," $40,749 "," $7,039 "," $7,542 "," $6,788 ", $-   , $-   ," $21,369 ", Medium Plush , Import ,
00004152020546, SL Har Wdland Icon Plsh , Plush , Harvest ,Halloween Harvest 2024,Dan Dee, 900 ," 1,800 "," 1,200 ", -   , -   ," 3,900 ", $4.19 , $7.99 ," $7,191 "," $14,382 "," $9,588 ", $-   , $-   ," $31,161 "," $3,771 "," $7,542 "," $5,028 ", $-   , $-   ," $16,341 ", Medium Plush , Import ,
00004152020547, SL Har Sft Plsh Pls Ast , Plush , Harvest ,Halloween Harvest 2024,Dan Dee," 1,752 "," 2,844 ", 756 , -   , -   ," 5,352 ", $4.22 , $7.99 ," $13,998 "," $22,724 "," $6,040 ", $-   , $-   ," $42,762 "," $7,393 "," $12,002 "," $3,190 ", $-   , $-   ," $22,585 ", Medium Plush , Import ,
00004152020548, SL Har Bmb Fb Kd Dnr St , Housewares , Harvest ,Halloween Harvest 2024,Free Free, -   ," 2,144 ", -   , -   , -   ," 2,144 ", $6.30 , $11.99 , $-   ," $25,707 ", $-   , $-   , $-   ," $25,707 ", $-   ," $13,507 ", $-   , $-   , $-   ," $13,507 ", Tabletop , Import ,
00004152020549, SL Har LED Pmpkin Décor , Décor , Harvest ,Halloween Harvest 2024,Gibo, 864 , 882 , -   , -   , -   ," 1,746 ", $5.20 , $9.99 ," $8,631 "," $8,811 ", $-   , $-   , $-   ," $17,443 "," $4,493 "," $4,586 ", $-   , $-   , $-   ," $9,079 ", Table and Mantle Décor , Import ,
00004152020550, SL Har Wood Icon Décor , Décor , Harvest ,Halloween Harvest 2024,Gibo," 1,020 ", -   ," 1,740 ", -   , -   ," 2,760 ", $1.53 , $2.99 ," $3,050 ", $-   ," $5,203 ", $-   , $-   ," $8,252 "," $1,561 ", $-   ," $2,662 ", $-   , $-   ," $4,223 ", Table and Mantle Décor , Import ,
00004152020551, SL Har Wd Animal Décor , Décor , Harvest ,Halloween Harvest 2024,Dan Dee," 2,304 "," 5,424 "," 2,832 "," 3,816 ", -   ," 14,376 ", $1.53 , $2.99 ," $6,889 "," $16,218 "," $8,468 "," $11,410 ", $-   ," $42,984 "," $3,525 "," $8,299 "," $4,333 "," $5,838 ", $-   ," $21,995 ", Table and Mantle Décor , Import ,
00004152020552, SL Har Wood Icon Décor , Décor , Harvest ,Halloween Harvest 2024,Dan Dee," 3,312 ", -   ," 3,432 ", -   , -   ," 6,744 ", $1.47 , $2.99 ," $9,903 ", $-   ," $10,262 ", $-   , $-   ," $20,165 "," $4,869 ", $-   ," $5,045 ", $-   , $-   ," $9,914 ", Table and Mantle Décor , Import ,
00004152020553, SL Har Wood Acorn Décor , Décor , Harvest ,Halloween Harvest 2024,Gibo, -   ," 1,800 ", -   ," 1,284 ", -   ," 3,084 ", $2.30 , $4.49 , $-   ," $8,082 ", $-   ," $5,765 ", $-   ," $13,847 ", $-   ," $4,140 ", $-   ," $2,953 ", $-   ," $7,093 ", Table and Mantle Décor , Import ,
00004152020554, SL Har Wd Pmpkn Brlp Bw , Décor , Harvest ,Halloween Harvest 2024,Gibo," 2,196 ", -   ," 1,248 "," 1,104 ", -   ," 4,548 ", $2.30 , $4.49 ," $9,860 ", $-   ," $5,604 "," $4,957 ", $-   ," $20,421 "," $5,051 ", $-   ," $2,870 "," $2,539 ", $-   ," $10,460 ", Table and Mantle Décor , Import ,
00004152020555, SL Har Geo Pmpkin Décor , Décor , Harvest ,Halloween Harvest 2024,Dan Dee," 2,416 "," 6,224 "," 1,216 ", -   , -   ," 9,856 ", $2.36 , $4.49 ," $10,848 "," $27,946 "," $5,460 ", $-   , $-   ," $44,253 "," $5,702 "," $14,689 "," $2,870 ", $-   , $-   ," $23,260 ", Table and Mantle Décor , Import ,
00004152020556, SL Har Mtl Slt Pmpkn Dc , Décor , Harvest ,Halloween Harvest 2024,Gibo," 2,220 "," 3,168 "," 1,488 ", -   , -   ," 6,876 ", $2.87 , $5.99 ," $13,298 "," $18,976 "," $8,913 ", $-   , $-   ," $41,187 "," $6,371 "," $9,092 "," $4,271 ", $-   , $-   ," $19,734 ", Table and Mantle Décor , Import ,
00004152020557, SL Har Trpl St Dcr W Fl , Décor , Harvest ,Halloween Harvest 2024,Gibo," 2,160 "," 5,184 "," 1,812 ", -   , -   ," 9,156 ", $3.05 , $5.99 ," $12,938 "," $31,052 "," $10,854 ", $-   , $-   ," $54,844 "," $6,588 "," $15,811 "," $5,527 ", $-   , $-   ," $27,926 ", Table and Mantle Décor , Import ,
00004152020558, SL Har Wd Pumpkin Décor , Décor , Harvest ,Halloween Harvest 2024,Global, 714 , 900 , 522 , -   , -   ," 2,136 ", $2.91 , $5.99 ," $4,277 "," $5,391 "," $3,127 ", $-   , $-   ," $12,795 "," $2,078 "," $2,619 "," $1,519 ", $-   , $-   ," $6,216 ", Table and Mantle Décor , Import ,
00004152020559, SL Har Wd Pmpkn Crte Dc , Décor , Harvest ,Halloween Harvest 2024,Zest, -   ," 1,200 ", -   , 824 , -   ," 2,024 ", $2.96 , $5.99 , $-   ," $7,188 ", $-   ," $4,936 ", $-   ," $12,124 ", $-   ," $3,552 ", $-   ," $2,439 ", $-   ," $5,991 ", Table and Mantle Décor , Import ,
00004152020560, SL Har Wood Word Décor , Décor , Harvest ,Halloween Harvest 2024,Gibo," 1,728 "," 1,644 ", -   , -   , -   ," 3,372 ", $3.15 , $6.49 ," $11,215 "," $10,670 ", $-   , $-   , $-   ," $21,884 "," $5,443 "," $5,179 ", $-   , $-   , $-   ," $10,622 ", Table and Mantle Décor , Import ,
00004152020562, SL Har Mtl Pmpkn Dcr , Décor , Harvest ,Halloween Harvest 2024,Zest," 1,386 ", -   , 858 , -   , -   ," 2,244 ", $3.21 , $6.49 ," $8,995 ", $-   ," $5,568 ", $-   , $-   ," $14,564 "," $4,449 ", $-   ," $2,754 ", $-   , $-   ," $7,203 ", Table and Mantle Décor , Import ,
00004152020563, SL Har Wd Pmp Bk Stk Dc , Décor , Harvest ,Halloween Harvest 2024,Gibo," 1,032 "," 1,800 ", -   , -   , -   ," 2,832 ", $3.52 , $6.99 ," $7,214 "," $12,582 ", $-   , $-   , $-   ," $19,796 "," $3,633 "," $6,336 ", $-   , $-   , $-   ," $9,969 ", Table and Mantle Décor , Import ,
00004152020565, SL Har Bird Décor , Décor , Harvest ,Halloween Harvest 2024,Gibo," 3,840 "," 4,404 "," 2,448 "," 3,744 ", -   ," 14,436 ", $2.90 , $5.99 ," $23,002 "," $26,380 "," $14,664 "," $22,427 ", $-   ," $86,472 "," $11,136 "," $12,772 "," $7,099 "," $10,858 ", $-   ," $41,864 ", Table and Mantle Décor , Import ,
00004152020566, SL Har Trkey Brd Decor , Décor , Harvest ,Halloween Harvest 2024,Global, -   ," 1,800 ", -   ," 2,292 ", -   ," 4,092 ", $3.02 , $5.99 , $-   ," $10,782 ", $-   ," $13,729 ", $-   ," $24,511 ", $-   ," $5,436 ", $-   ," $6,922 ", $-   ," $12,358 ", Table and Mantle Décor , Import ,
00004152020567, SL Har Gnme Knt Hat Dcr , Décor , Harvest ,Halloween Harvest 2024,Gibo," 2,688 ", -   ," 2,532 ", -   , -   ," 5,220 ", $2.47 , $4.99 ," $13,413 ", $-   ," $12,635 ", $-   , $-   ," $26,048 "," $6,639 ", $-   ," $6,254 ", $-   , $-   ," $12,893 ", Table and Mantle Décor , Import ,
00004152020568, SL Har Mushrm Gnme Dcr , Décor , Harvest ,Halloween Harvest 2024,Global," 2,184 "," 1,200 ", 880 ," 3,136 ", -   ," 7,400 ", $3.27 , $6.49 ," $14,174 "," $7,788 "," $5,711 "," $20,353 ", $-   ," $48,026 "," $7,142 "," $3,924 "," $2,878 "," $10,255 ", $-   ," $24,198 ", Table and Mantle Décor , Import ,
00004152020569, SL Har Fx Beaded Lg Dcr , Décor , Harvest ,Halloween Harvest 2024,Gibo," 1,140 ", -   ," 1,200 ", -   , -   ," 2,340 ", $3.59 , $7.49 ," $8,539 ", $-   ," $8,988 ", $-   , $-   ," $17,527 "," $4,093 ", $-   ," $4,308 ", $-   , $-   ," $8,401 ", Table and Mantle Décor , Import ,
00004152020570, SL Har Scrcrw Leg Dcr , Décor , Harvest ,Halloween Harvest 2024,Gibo," 1,152 ", -   ," 1,200 ", -   , -   ," 2,352 ", $3.70 , $7.49 ," $8,628 ", $-   ," $8,988 ", $-   , $-   ," $17,616 "," $4,262 ", $-   ," $4,440 ", $-   , $-   ," $8,702 ", Table and Mantle Décor , Import ,
00004152020571, SL Har Plaid Pmpkn Dcr , Décor , Harvest ,Halloween Harvest 2024,Gibo," 2,100 "," 1,800 "," 1,380 "," 2,244 ", -   ," 7,524 ", $2.93 , $5.99 ," $12,579 "," $10,782 "," $8,266 "," $13,442 ", $-   ," $45,069 "," $6,153 "," $5,274 "," $4,043 "," $6,575 ", $-   ," $22,045 ", Table and Mantle Décor , Import ,
00004152020572, SL Har Knt Pmpkin Décor , Décor , Harvest ,Halloween Harvest 2024,Gibo, -   ," 1,656 ", 816 , -   , -   ," 2,472 ", $2.96 , $5.99 , $-   ," $9,919 "," $4,888 ", $-   , $-   ," $14,807 ", $-   ," $4,902 "," $2,415 ", $-   , $-   ," $7,317 ", Table and Mantle Décor , Import ,
00004152020573," SL Har 7.5"" Pumpkin   ", Décor , Harvest ,Halloween Harvest 2024,Global," 2,070 "," 4,584 "," 1,584 ", -   , -   ," 8,238 ", $3.52 , $6.99 ," $14,469 "," $32,042 "," $11,072 ", $-   , $-   ," $57,584 "," $7,286 "," $16,136 "," $5,576 ", $-   , $-   ," $28,998 ", Table and Mantle Décor , Import ,
00004152020574, SL Har LED Cndl Pmp Dcr , Décor , Harvest ,Halloween Harvest 2024,Zest," 1,176 ", -   , 380 , -   , -   ," 1,556 ", $7.56 , $14.99 ," $17,628 ", $-   ," $5,696 ", $-   , $-   ," $23,324 "," $8,891 ", $-   ," $2,873 ", $-   , $-   ," $11,763 ", Table and Mantle Décor , Import ,
00004152020575, SL Har Flral in Planter , Décor , Harvest ,Halloween Harvest 2024,Zest, 960 , -   , 660 , -   , -   ," 1,620 ", $3.66 , $6.99 ," $6,710 ", $-   ," $4,613 ", $-   , $-   ," $11,324 "," $3,514 ", $-   ," $2,416 ", $-   , $-   ," $5,929 ", Table and Mantle Décor , Import ,
